slug,title,cluster,type,primary_query,secondary_queries,intent,angle,must_include,internal_links,target_words,status
chat-s-pamyatyu-bitemporal,Чат с памятью: кросс-чат recall и bi-temporal факты простыми словами,C4 Память ИИ и RAG,explainer,чат с памятью,"bi-temporal memory,cross-chat recall,персональная память ии",информационный,"Объясняет, почему память должна помнить не только факт, но и время, когда он был верен.",Схема двух временных осей + пример смены факта с откатом,"bi-temporal-pamyat-podrobno,kak-rabotaet-pamyat-ii,kak-udalit-fakt-iz-pamyati-ii,graf-pamyati,zachem-nuzhen-provenance-v-pamyati",1600,existing
zapis-ekrana-ii-pamyat,Запись экрана как память ИИ: контекст дня автоматически,C4 Память ИИ и RAG,explainer,запись экрана ии,"ии память экрана,ocr скриншоты,контекст дня",информационный,"Показывает экран как источник памяти, который не требует от человека ничего записывать вручную.",Схема конвейера захват → OCR → индекс + требования к дедупликации,"poisk-po-ocr-tekstu-osobennosti,chto-takoe-ocr,nastroika-privatnosti-zahvata,skolko-vesit-i-tormozit,kak-rabotaet-pamyat-ii",1700,existing
chto-takoe-rag-prostymi-slovami,Что такое RAG простыми словами,C4 Память ИИ и RAG,explainer,что такое rag,"rag простыми словами,retrieval augmented generation,поиск с генерацией",информационный,"Объясняет RAG через одну метафору — подготовка шпаргалки перед ответом — и сразу называет три места, где эта шпаргалка ломается.",Схема из 4 шагов + список 3 типовых точек отказа,"kak-rabotaet-pamyat-ii,embeddingi-prostymi-slovami,chunking-strategii,rag-vs-fine-tune-chto-vybrat,gibridnyy-poisk-bm25-i-vektory",1300,planned
rag-vs-fine-tune-chto-vybrat,RAG или дообучение: что выбрать под свою задачу,C4 Память ИИ и RAG,comparison,rag или fine tune,"дообучение или rag,что лучше rag или обучение,как научить нейросеть своим данным",коммерческий,"Сводит выбор к одному вопросу — знания меняются или стиль меняется — и показывает, что в 80% случаев спрашивающему нужен RAG.",Таблица сравнения по 7 критериям + дерево решений,"chto-takoe-rag-prostymi-slovami,kogda-fine-tune-ne-nuzhen,svoya-model-fine-tune,skolko-primerov-nuzhno-dlya-fine-tune,kak-rabotaet-pamyat-ii",1500,planned
embeddingi-prostymi-slovami,Эмбеддинги простыми словами: как текст превращается в числа,C4 Память ИИ и RAG,explainer,эмбеддинги простыми словами,"что такое эмбеддинг,векторное представление текста,как ии понимает смысл",информационный,Объясняет вектор через ощутимый пример на трёх фразах и сразу показывает главную ловушку — близость по вектору не равна релевантности.,Пример с 3 фразами и их близостью + разбор ложной близости,"chto-takoe-cosine-similarity,embed-modeli-obzor,vektornaya-baza-dannyh-obzor,semanticheskiy-poisk-vs-klyuchevye-slova,chto-takoe-rag-prostymi-slovami",1200,planned
vektornaya-baza-dannyh-obzor,Векторные базы данных: нужна ли вам отдельная,C4 Память ИИ и RAG,comparison,векторная база данных,"vector db обзор,какую векторную базу выбрать,нужна ли векторная база",коммерческий,"Отвечает вопреки ожиданию: для личного ассистента отдельная векторная база почти всегда лишняя, и объясняет, с какого объёма это перестаёт быть правдой.","Таблица решений (SQLite-расширение, встроенные, серверные) + порог объёма для перехода","sqlite-vec-gayd,chto-takoe-knn-i-ann,embed-modeli-obzor,gibridnyy-poisk-bm25-i-vektory,proizvoditelnost-sqlite-fts5-na-millionah-strok",1400,planned
sqlite-vec-gayd,sqlite-vec: векторный поиск прямо в SQLite,C4 Память ИИ и RAG,guide,sqlite векторный поиск,"sqlite-vec установка,вектора в sqlite,локальная векторная база",транзакционный,"Единственный русскоязычный гайд, который показывает векторный поиск как необязательное расширение поверх обычной базы — и объясняет, как сделать тихий откат, если расширение не установлено.",Команды установки + схема таблицы + пример запроса KNN + логика fallback,"vektornaya-baza-dannyh-obzor,embed-modeli-obzor,gibridnyy-poisk-bm25-i-vektory,podklyuchaem-ollama-k-persona,chto-takoe-knn-i-ann",1400,planned
chunking-strategii,Как резать текст для поиска: стратегии чанкинга,C4 Память ИИ и RAG,guide,чанкинг текста,"chunking стратегии,как разбить документ для rag,размер чанка",информационный,"Показывает, что размер чанка — компромисс между полнотой и точностью, и даёт метод подбора под свой корпус вместо universal-совета «512 токенов».",Таблица 5 стратегий с плюсами и минусами + процедура подбора размера на своём корпусе,"chto-takoe-rag-prostymi-slovami,embeddingi-prostymi-slovami,rerank-modeli,gibridnyy-poisk-bm25-i-vektory,summarizatsiya-dialoga-dlya-pamyati",1300,planned
gibridnyy-poisk-bm25-i-vektory,Гибридный поиск: почему ключевые слова всё ещё нужны,C4 Память ИИ и RAG,explainer,гибридный поиск rag,"bm25 и вектора,keyword и семантический поиск,hybrid search",информационный,"Показывает конкретные классы запросов (имена, коды ошибок, артикулы), где векторный поиск проигрывает точному совпадению — и почему гибрид не роскошь.",Таблица типов запросов с победителем + схема объединения результатов,"chto-takoe-bm25,rrf-reciprocal-rank-fusion,semanticheskiy-poisk-vs-klyuchevye-slova,fts5-polnotekstovyy-poisk-sqlite,vektornaya-baza-dannyh-obzor",1300,planned
rrf-reciprocal-rank-fusion,RRF: как честно объединить два списка результатов,C4 Память ИИ и RAG,explainer,reciprocal rank fusion,"rrf объединение результатов,как смешать два поиска,ранжирование гибридного поиска",информационный,"Разбирает конкретный алгоритм слияния, который работает без калибровки шкал — и объясняет, почему простое сложение баллов даёт мусор.",Формула RRF с разбором константы + пример расчёта на двух списках,"gibridnyy-poisk-bm25-i-vektory,chto-takoe-bm25,rerank-modeli,chto-takoe-cosine-similarity,vektornaya-baza-dannyh-obzor",1000,planned
fts5-polnotekstovyy-poisk-sqlite,FTS5 в SQLite: полнотекстовый поиск без лишних сервисов,C4 Память ИИ и RAG,guide,fts5 sqlite,"полнотекстовый поиск sqlite,sqlite поиск по тексту,fts5 русский язык",транзакционный,"Единственный гайд, который отдельно разбирает проблему русской морфологии в FTS5 и рабочие обходные пути.",Схема виртуальной таблицы + запросы с bm25() + разбор токенизаторов для русского,"chto-takoe-fts5,chto-takoe-bm25,gibridnyy-poisk-bm25-i-vektory,proizvoditelnost-sqlite-fts5-na-millionah-strok,poisk-po-ocr-tekstu-osobennosti",1400,planned
rerank-modeli,Переранжирование: как поднять качество поиска без смены базы,C4 Память ИИ и RAG,explainer,rerank модель,"переранжирование результатов,cross encoder rerank,улучшить качество rag",информационный,Показывает переранжирование как самый дешёвый способ улучшить RAG — и честно называет его цену в задержке ответа.,Схема двухэтапного поиска + таблица «прирост качества vs задержка»,"gibridnyy-poisk-bm25-i-vektory,chunking-strategii,rrf-reciprocal-rank-fusion,chto-takoe-latentnost-ttft,embed-modeli-obzor",1100,planned
graf-znaniy-vs-vektory,Граф знаний против векторного поиска: что для каких вопросов,C4 Память ИИ и RAG,comparison,граф знаний или вектора,"knowledge graph vs rag,graphrag,когда нужен граф знаний",коммерческий,"Даёт классификацию вопросов по «глубине связи»: одношаговые решает вектор, многошаговые — только граф, и это проверяемый критерий, а не вкус.",Таблица типов вопросов с указанием победителя + пример многошагового вопроса,"graf-pamyati,chto-takoe-rag-prostymi-slovami,gibridnyy-poisk-bm25-i-vektory,zachem-nuzhen-provenance-v-pamyati,persona-agent-arhitektura",1400,planned
bi-temporal-pamyat-podrobno,Bi-temporal память: два времени у одного факта,C4 Память ИИ и RAG,explainer,bi-temporal память,"валидность факта во времени,история изменения фактов,когда факт перестал быть верным",информационный,"Разбирает разницу между «когда факт был верен» и «когда мы о нём узнали» на примерах, где смешение этих осей даёт неверный ответ ассистента.",Схема двух осей времени + таблица состояний факта + пример отката,"chat-s-pamyatyu-bitemporal,kak-udalit-fakt-iz-pamyati-ii,zachem-nuzhen-provenance-v-pamyati,kak-ii-zabyvaet-strategii-zabyvaniya,graf-pamyati",1400,planned
kak-ii-zabyvaet-strategii-zabyvaniya,Как ИИ забывает: стратегии устаревания памяти,C4 Память ИИ и RAG,explainer,как ии забывает,"устаревание памяти ии,забывание в нейросети,очистка памяти ассистента",информационный,"Утверждает непопулярное: без забывания память деградирует, и разбирает четыре стратегии устаревания с их побочными эффектами.",Таблица 4 стратегий забывания с рисками + правило выбора,"bi-temporal-pamyat-podrobno,ierarhicheskaya-pamyat-urovni,kak-udalit-fakt-iz-pamyati-ii,summarizatsiya-dialoga-dlya-pamyati,nochnaya-konsolidatsiya-pamyati-sny",1300,planned
ierarhicheskaya-pamyat-urovni,Иерархическая память: от сырых кадров до годовых пометок,C4 Память ИИ и RAG,explainer,иерархическая память ии,"уровни памяти ассистента,сжатие памяти по времени,долговременное хранение памяти ии",информационный,"Единственная статья, показывающая память как пирамиду с разным сроком жизни на каждом уровне — и считающая, сколько байт в год переживает всё.",Схема уровней с объёмом и сроком хранения + расчёт годового следа,"kak-ii-zabyvaet-strategii-zabyvaniya,summarizatsiya-dialoga-dlya-pamyati,skolko-mesta-zanimaet-god-zapisi,kak-rabotaet-pamyat-ii,skolko-vesit-i-tormozit",1300,planned
summarizatsiya-dialoga-dlya-pamyati,Суммаризация диалога: как сжимать не теряя нужного,C4 Память ИИ и RAG,guide,суммаризация диалога,"сжатие истории чата,как сохранить контекст длинного диалога,конспект переписки ии",информационный,"Показывает, что наивная суммаризация теряет именно то, что потом спросят — имена, числа, решения — и даёт структурированный формат, который это удерживает.",Шаблон структурированного конспекта + сравнение потерь на примере,"chunking-strategii,ierarhicheskaya-pamyat-urovni,kontekstnoe-okno-i-poterya-v-seredine,kak-ii-zabyvaet-strategii-zabyvaniya,galyutsinatsii-pamyati-i-kak-lovit",1200,planned
kontekstnoe-okno-i-poterya-v-seredine,Потеря в середине: почему модель не видит середину контекста,C4 Память ИИ и RAG,explainer,потеря в середине контекста,"lost in the middle,модель игнорирует середину промпта,порядок фрагментов в промпте",информационный,"Практическое следствие эффекта: порядок фрагментов в промпте влияет на ответ сильнее, чем их количество, — и даёт правило расстановки.",Схема распределения внимания по позиции + правило расстановки фрагментов,"kontekst-modeli-realnyy-vs-zayavlennyy,sistemnyy-promt-dlya-lichnogo-ii,rerank-modeli,kontekstnoe-okno-1m,chto-takoe-kontekstnoe-okno",1200,planned
pamyat-chatgpt-kak-ustroena,Как устроена память ChatGPT,C4 Память ИИ и RAG,explainer,память chatgpt,"как работает память chatgpt,chatgpt запоминает,отключить память chatgpt",информационный,"Единственный русскоязычный разбор, который отделяет ручные «сохранённые воспоминания» от автоматической работы с историей чатов и объясняет, что из этого нельзя экспортировать отдельно.",Таблица механизмов памяти + инструкция по просмотру и удалению записей (детали помечены как требующие проверки),"persona-vs-chatgpt-memory,ii-kotoryy-pomnit-cheloveka,chatgpt-vs-lichnyy-ii,kak-udalit-fakt-iz-pamyati-ii,kak-rabotaet-pamyat-ii",1500,planned
mem0-letta-memgpt-obzor,Библиотеки памяти для ИИ: Mem0 Letta и наследие MemGPT,C4 Память ИИ и RAG,review,mem0 обзор,"letta memgpt,библиотека памяти для llm,memory layer для ии",информационный,"Разбирает три подхода к «памяти как сервису» и говорит, что общего у всех — они решают хранение, но не решают доверие к тому, что записано.",Таблица трёх подходов с моделью хранения + общий незакрытый вопрос провенанса,"zachem-nuzhen-provenance-v-pamyati,kak-rabotaet-pamyat-ii,persona-vs-mem0,ierarhicheskaya-pamyat-urovni,graf-znaniy-vs-vektory",1400,planned
zachem-nuzhen-provenance-v-pamyati,Провенанс памяти: откуда ассистент знает то что знает,C4 Память ИИ и RAG,explainer,провенанс памяти ии,"откуда ии взял факт,источник факта нейросети,проверить память ассистента",информационный,"Формулирует правило, которое почти нигде не соблюдается: любой автоматически записанный факт должен ссылаться хотя бы на одно доказательство — иначе ошибка становится историей.",Схема цепочки доказательств + чек-лист требований к записи факта,"galyutsinatsii-pamyati-i-kak-lovit,bi-temporal-pamyat-podrobno,persona-agent-arhitektura,nochnaya-konsolidatsiya-pamyati-sny,graf-znaniy-vs-vektory",1400,planned
galyutsinatsii-pamyati-i-kak-lovit,Галлюцинации в памяти: когда ассистент придумывает ваше прошлое,C4 Память ИИ и RAG,troubleshooting,ии придумывает факты обо мне,"галлюцинации памяти,ассистент выдумал,неверный факт в памяти ии",информационный,"Описывает самый опасный сбой персональной памяти — самоусиление, когда выдуманный факт попадает в промпт и подтверждается заново, — и даёт способ разорвать цикл.",Схема цикла самоусиления + процедура аудита памяти из 5 шагов,"zachem-nuzhen-provenance-v-pamyati,kak-udalit-fakt-iz-pamyati-ii,chto-takoe-galyutsinatsiya-ii,nochnaya-konsolidatsiya-pamyati-sny,bi-temporal-pamyat-podrobno",1400,planned
kak-udalit-fakt-iz-pamyati-ii,Как удалить факт из памяти ИИ и убедиться что он удалён,C4 Память ИИ и RAG,guide,удалить память ии,"как стереть данные из ассистента,забыть факт нейросеть,очистить память чата",транзакционный,"Показывает, что удаление факта — это четыре разных удаления (запись, индекс, граф, история диалога), и без всех четырёх факт вернётся.","Чек-лист из 4 мест хранения + процедура проверки, что факт действительно исчез","bi-temporal-pamyat-podrobno,galyutsinatsii-pamyati-i-kak-lovit,udalenie-akkaunta-i-dannyh,eksport-i-perenos-pamyati-ii,pamyat-chatgpt-kak-ustroena",1200,planned
eksport-i-perenos-pamyati-ii,Экспорт и перенос памяти ассистента,C4 Память ИИ и RAG,guide,экспорт памяти ии,"перенести память ассистента,выгрузить данные ии,сменить ассистента без потери памяти",информационный,"Единственная статья, ставящая вопрос переносимости как критерий выбора инструмента: если память нельзя выгрузить, вы арендуете своё прошлое.",Таблица форматов выгрузки + чек-лист проверки полноты экспорта,"udalenie-akkaunta-i-dannyh,perenos-instansa-na-drugoy-disk,kak-udalit-fakt-iz-pamyati-ii,backup-i-vosstanovlenie-sqlite,persona-vs-chatgpt-memory",1200,planned
poisk-po-ocr-tekstu-osobennosti,Поиск по OCR-тексту: почему он не похож на обычный поиск,C4 Память ИИ и RAG,explainer,поиск по распознанному тексту,"ocr поиск ошибки,найти текст со скриншота,поиск по скриншотам",информационный,"Единственный материал о том, что OCR-текст полон ошибок распознавания, и поэтому точный поиск по нему промахивается там, где человек уверен, что слово было.",Таблица типовых ошибок OCR + приёмы устойчивого поиска,"chto-takoe-ocr,zapis-ekrana-ii-pamyat,fts5-polnotekstovyy-poisk-sqlite,redaction-pravila-ocr,vision-modeli-lokalno",1200,planned
semanticheskiy-poisk-vs-klyuchevye-slova,Семантический поиск против ключевых слов: когда что работает,C4 Память ИИ и RAG,comparison,семантический поиск,"поиск по смыслу,векторный поиск или ключевые слова,умный поиск по заметкам",информационный,"Даёт проверяемое правило выбора вместо лозунга «семантика лучше»: чем короче и точнее запрос, тем сильнее ключевые слова.",Таблица 8 типов запросов с победителем + правило переключения режима,"gibridnyy-poisk-bm25-i-vektory,embeddingi-prostymi-slovami,chto-takoe-bm25,fts5-polnotekstovyy-poisk-sqlite,poisk-po-svoemu-dnyu-stsenarii",1200,planned
pamyat-i-privatnost-chto-hranit,Что ассистенту стоит помнить а что нет,C4 Память ИИ и RAG,guide,что ии должен помнить,"какие данные хранить ассистенту,приватность памяти ии,ограничить память ассистента",информационный,"Переворачивает обычный подход: вместо «как запомнить больше» даёт список категорий, которые в память попадать не должны никогда, и способ это принудить.",Список из 8 запрещённых категорий + правила исключений и redaction,"nastroika-privatnosti-zahvata,redaction-pravila-ocr,personalnye-dannye-v-promte,privatnyy-ii-lokalno,kak-udalit-fakt-iz-pamyati-ii,medicinskie-dannye-i-ii",1300,planned
ii-rabota-s-faylami,ИИ который создаёт файлы на твоём компьютере — безопасно,C5A Агенты и инструменты,guide,ии создаёт файлы,"ии работа с файлами,ии агент файлы,allowlist папок",информационный,Показывает белый список папок как обязательное условие любого файлового доступа агента.,Схема allowlist + список запрещённых операций,"agent-s-dostupom-k-faylam-nastroyka,agent-i-bezopasnost-allowlist,pochemu-agentu-nelzya-davat-shell,chto-takoe-ii-agent,privatnyy-ii-lokalno",1400,existing
brifing-i-nl-napominaniya,Утренний брифинг и NL-напоминания: проактивный ассистент из реального контекста,C5A Агенты и инструменты,guide,проактивный ии,"утренний брифинг,напоминания на естественном языке,ассистент напоминания",информационный,"Показывает проактивность как функцию реального контекста дня, а не календаря, заполненного вручную.",Пример брифинга из реальных данных + разбор разбора формулировок напоминаний,"proaktivnyy-agent-probuzhdeniya,natural-language-cron,napominaniya-na-estestvennom-yazyke,utrenniy-briefing-kak-privychka,itogi-nedeli-avtomaticheski",1500,existing
chto-takoe-ii-agent,Что такое ИИ-агент и почему это не чат,C5A Агенты и инструменты,pillar,что такое ии агент,"ии агент простыми словами,агент или чат бот,автономный агент ии",информационный,"Даёт проверяемое определение агента через три признака (цикл, инструменты, состояние) и на этом основании отсекает большинство продуктов, называющих себя агентами.",Схема агентного цикла + чек-лист из 3 признаков для проверки любого продукта,"agent-vs-chat-bot-raznitsa,function-calling-obyasnenie,react-pattern-agenta,chto-takoe-mcp-protokol,agent-i-bezopasnost-allowlist,planirovanie-i-dekompozitsiya-zadach-agentom,skilly-i-navyki-agenta",2800,planned
agent-vs-chat-bot-raznitsa,Агент против чат-бота: где проходит граница,C5A Агенты и инструменты,comparison,агент или чат бот,"разница агент и бот,чем агент отличается от чата,ии агент это",информационный,"Разбирает промежуточную ступень, о которой обычно молчат: чат с инструментами — ещё не агент, потому что цикл замыкает человек.",Шкала из 4 ступеней автономности с примерами продуктов на каждой,"chto-takoe-ii-agent,function-calling-obyasnenie,react-pattern-agenta,multiagentnye-sistemy-obzor,agent-zatsiklilsya-chto-delat",1200,planned
function-calling-obyasnenie,Function calling: как модель вызывает ваш код,C5A Агенты и инструменты,explainer,function calling,"вызов функций llm,tool use нейросеть,как модель вызывает инструменты",информационный,"Снимает главное заблуждение: модель ничего не выполняет — она возвращает текст, а выполняет ваш код, и вся ответственность за безопасность лежит там.",Схема обмена запрос-ответ + пример описания инструмента + разбор точки ответственности,"chto-takoe-ii-agent,chto-takoe-mcp-protokol,agent-i-bezopasnost-allowlist,agenty-lokalno-na-malenkoy-modeli,otladka-agenta-logi-i-trassirovka",1300,planned
chto-takoe-mcp-protokol,MCP: протокол подключения инструментов к ИИ,C5A Агенты и инструменты,explainer,что такое mcp,"model context protocol,mcp протокол ии,mcp сервер что это",информационный,"Объясняет, какую именно проблему решает MCP — комбинаторный взрыв интеграций N клиентов на M инструментов, — и где он пока не помогает.",Схема до и после MCP + таблица примитивов протокола,"mcp-servery-obzor,kak-napisat-svoy-mcp-server,function-calling-obyasnenie,chto-takoe-ii-agent,skilly-i-navyki-agenta",1400,planned
mcp-servery-obzor,Полезные MCP-серверы: что подключить в первую очередь,C5A Агенты и инструменты,review,mcp серверы,"список mcp серверов,лучшие mcp сервера,что подключить к ии агенту",коммерческий,"Отбирает серверы по критерию риска, а не популярности: сначала читающие, потом пишущие, и объясняет, почему такой порядок.",Таблица серверов с уровнем доступа (чтение/запись/выполнение) + порядок подключения,"chto-takoe-mcp-protokol,kak-napisat-svoy-mcp-server,agent-i-bezopasnost-allowlist,brauzernyy-agent-kak-rabotaet,skilly-i-navyki-agenta",1400,planned
kak-napisat-svoy-mcp-server,Как написать свой MCP-сервер,C5A Агенты и инструменты,guide,написать mcp сервер,"свой mcp сервер,создать инструмент для ии,mcp сервер пример",транзакционный,"Учит писать описания инструментов так, чтобы модель их правильно вызывала, — то есть решает главную реальную проблему, а не проблему транспорта.",Минимальный работающий сервер + 6 правил формулировки описаний инструментов,"chto-takoe-mcp-protokol,mcp-servery-obzor,function-calling-obyasnenie,otladka-agenta-logi-i-trassirovka,agent-i-bezopasnost-allowlist",1600,planned
react-pattern-agenta,Паттерн ReAct: мысль действие наблюдение,C5A Агенты и инструменты,explainer,react агент,"reasoning acting агент,паттерн агента,цикл размышления агента",информационный,"Разбирает базовый цикл и сразу показывает его слабое место — накопление наблюдений в контексте, из-за чего длинные задачи упираются в окно.",Схема цикла с примером трассировки + разбор роста контекста по шагам,"chto-takoe-ii-agent,chto-takoe-chain-of-thought,planirovanie-i-dekompozitsiya-zadach-agentom,agent-zatsiklilsya-chto-delat,kontekstnoe-okno-i-poterya-v-seredine",1300,planned
planirovanie-i-dekompozitsiya-zadach-agentom,Как агент разбивает задачу на шаги,C5A Агенты и инструменты,explainer,планирование агента,"декомпозиция задачи ии,агент составляет план,многошаговая задача нейросеть",информационный,"Объясняет, почему план, составленный один раз в начале, почти всегда ломается, и что даёт перепланирование после каждого наблюдения.",Сравнение статического и динамического планирования на одном примере,"react-pattern-agenta,chto-takoe-ii-agent,multiagentnye-sistemy-obzor,agent-zatsiklilsya-chto-delat,agenty-lokalno-na-malenkoy-modeli",1200,planned
multiagentnye-sistemy-obzor,Мультиагентные системы: когда несколько агентов лучше одного,C5A Агенты и инструменты,explainer,мультиагентная система,"несколько агентов ии,оркестрация агентов,агент делегирует задачу",информационный,"Занимает скептическую позицию: для личных задач мультиагентность чаще всего умножает стоимость и ошибки, и статья называет три исключения.","Таблица «затраты vs выигрыш» + 3 сценария, где мультиагентность оправдана","chto-takoe-ii-agent,planirovanie-i-dekompozitsiya-zadach-agentom,react-pattern-agenta,persona-agent-arhitektura,otladka-agenta-logi-i-trassirovka",1300,planned
agent-i-bezopasnost-allowlist,Безопасность агента: белые списки и права по умолчанию,C5A Агенты и инструменты,guide,безопасность ии агента,"права агента ии,ограничить доступ агента,агент безопасность инструментов",информационный,"Формулирует модель угроз для личного агента и предлагает конкретную политику по умолчанию: чтение разрешено, запись по списку, выполнение — с подтверждением.",Матрица прав по типам инструментов + шаблон политики по умолчанию,"pochemu-agentu-nelzya-davat-shell,agent-s-dostupom-k-faylam-nastroyka,chto-takoe-promt-inektsiya,mcp-servery-obzor,function-calling-obyasnenie,chto-takoe-guardrails",1500,planned
pochemu-agentu-nelzya-davat-shell,Почему нельзя просто дать агенту доступ к терминалу,C5A Агенты и инструменты,explainer,агент доступ к терминалу,"ии выполняет команды опасно,run shell агент,ии удалил файлы",информационный,"Единственная статья, честно признающая, что в Persona инструмент выполнения команд существует и помечен как опасный, — и объясняющая, почему он не включён по умолчанию.","Разбор 4 сценариев ущерба + список ограничений, обязательных перед включением","agent-i-bezopasnost-allowlist,chto-takoe-promt-inektsiya,agent-s-dostupom-k-faylam-nastroyka,ugrozy-lokalnogo-ii,samohosting-riski-chestno",1300,planned
agent-s-dostupom-k-faylam-nastroyka,Настройка файлового доступа для агента,C5A Агенты и инструменты,guide,доступ агента к файлам,"разрешить ии читать папку,allowlist папок ии,ии пишет файлы настройка",транзакционный,"Практическая инструкция с принципом «сначала одна папка на чтение» и способом проверить, что за пределы списка агент выйти не может.",Пошаговая настройка + тест на выход за границы allowlist,"ii-rabota-s-faylami,agent-i-bezopasnost-allowlist,pochemu-agentu-nelzya-davat-shell,ii-i-rabota-s-dokumentami-na-diske,privatnyy-ii-lokalno",1200,planned
brauzernyy-agent-kak-rabotaet,Браузерный агент: как ИИ читает страницы вместо вас,C5A Агенты и инструменты,explainer,браузерный агент ии,"ии открывает сайты,агент читает страницу,ии ищет в интернете",информационный,Разбирает самый недооценённый риск браузерного агента — промпт-инъекцию с чужой страницы — и способ её локализовать.,Схема конвейера страница → текст → промпт + разбор точки инъекции,"chto-takoe-promt-inektsiya,agent-i-bezopasnost-allowlist,mcp-servery-obzor,ii-dlya-issledovaniya-istochniki,chto-takoe-guardrails",1300,planned
skilly-i-navyki-agenta,Навыки агента: как научить его повторяемой процедуре,C5A Агенты и инструменты,guide,навыки ии агента,"скиллы агента,процедурная память ии,научить агента процедуре",информационный,"Отделяет навык (записанная процедура) от инструмента (внешнее действие) и памяти (факт) — три вещи, которые постоянно смешивают.",Таблица трёх сущностей с примерами + шаблон описания навыка,"chto-takoe-ii-agent,chto-takoe-mcp-protokol,mcp-servery-obzor,persona-agent-arhitektura,hermes-agent-pamyat-memory-md",1300,planned
natural-language-cron,Расписание на естественном языке: «напомни каждый вторник»,C5A Агенты и инструменты,explainer,напоминание на естественном языке,"cron на человеческом языке,расписание для ии агента,запланировать задачу ассистенту",информационный,"Показывает разбор естественной формулировки в расписание как отдельную задачу с типовыми провалами (часовые пояса, «через неделю», «в конце месяца»).",Таблица формулировок с результатом разбора + список неоднозначных случаев,"brifing-i-nl-napominaniya,napominaniya-na-estestvennom-yazyke,proaktivnyy-agent-probuzhdeniya,agent-v-telegram-kak-sdelat,persona-agent-arhitektura",1200,planned
agent-v-telegram-kak-sdelat,Агент в Telegram: один ассистент на сайте и в мессенджере,C5A Агенты и инструменты,guide,ии агент в telegram,"телеграм бот с памятью,ассистент в телеграм,подключить ии к telegram",транзакционный,"Ставит в центр требование, которое обычно упускают: одна личность и одна память на обоих поверхностях, иначе получаются два разных ассистента.",Схема отображения чат/тема → сессия + чек-лист allowlist отправителей,"persona-agent-arhitektura,natural-language-cron,hermes-agent-telegram-allowlist,chat-s-pamyatyu-bitemporal,agent-i-bezopasnost-allowlist",1500,planned
proaktivnyy-agent-probuzhdeniya,Проактивный агент: когда ассистенту стоит заговорить первым,C5A Агенты и инструменты,explainer,проактивный ассистент,"ии пишет первым,агент напоминает сам,инициатива ассистента",информационный,"Считает проактивность бюджетом внимания: у каждого сообщения без запроса есть цена, и статья задаёт правила, когда она оправдана.",Таблица поводов заговорить с оценкой ценности + правило тихих часов,"brifing-i-nl-napominaniya,natural-language-cron,fokus-i-tihie-chasy,lichnyy-ii-i-vygoranie,persona-agent-arhitektura",1200,planned
agenty-lokalno-na-malenkoy-modeli,Агенты на маленькой локальной модели: где предел,C5A Агенты и инструменты,troubleshooting,агент на локальной модели,"локальная модель не вызывает инструменты,tool calling локально,маленькая модель агент",информационный,Честно называет главное ограничение локальных агентов: компактные модели плохо соблюдают формат вызова инструментов и разваливаются на 3-4 шаге цепочки.,Таблица наблюдаемого качества вызова инструментов по размерам моделей + приёмы упрощения задач,"function-calling-obyasnenie,otladka-agenta-logi-i-trassirovka,agent-zatsiklilsya-chto-delat,modeli-7b-8b-obzor,kogda-model-ne-vinovata",1300,planned
otladka-agenta-logi-i-trassirovka,Отладка агента: как читать его трассировку,C5A Агенты и инструменты,troubleshooting,отладка ии агента,"логи агента ии,трассировка агента,агент делает не то",информационный,"Учит читать трассировку как улику: почти всегда ошибка видна на первом неверном наблюдении, а не в финальном ответе.",Пример трассировки с разметкой точки сбоя + чек-лист из 6 вопросов к логу,"agent-zatsiklilsya-chto-delat,agenty-lokalno-na-malenkoy-modeli,react-pattern-agenta,kak-napisat-svoy-mcp-server,logi-strukturirovannye-structlog",1300,planned
agent-zatsiklilsya-chto-delat,Агент зациклился: причины и предохранители,C5A Агенты и инструменты,troubleshooting,агент зациклился,"ии повторяет одно и то же,агент не останавливается,бесконечный цикл агента",информационный,"Разбирает четыре механизма зацикливания по отдельности и даёт для каждого свой предохранитель, вместо общего «ограничьте число шагов».",Таблица «механизм зацикливания → предохранитель» + значения лимитов по умолчанию,"otladka-agenta-logi-i-trassirovka,react-pattern-agenta,agenty-lokalno-na-malenkoy-modeli,planirovanie-i-dekompozitsiya-zadach-agentom,chto-takoe-guardrails",1200,planned
hermes-znachenie-raznitsa,Hermes в мире ИИ: три разные вещи под одним именем,C5B Hermes — разбор омонимии,explainer,hermes ии,"hermes модель,hermes агент,что такое hermes нейросеть",навигационный,"Единственная статья, которая разводит три несвязанные сущности с именем Hermes — семейство моделей Nous Research, открытый агентный фреймворк Hermes Agent и агентную архитектуру Persona — и объясняет, почему их постоянно путают.","Таблица трёх сущностей (кто автор, что это, где живёт, как проверить, о чём речь)","nous-hermes-modeli-obzor,hermes-agent-framework-obzor,persona-agent-arhitektura,persona-agent-vs-hermes-agent,chto-takoe-ii-agent",1600,planned
